2026-06-26 11:27:43,674 | CRITICAL | 🚨 THREAT DETECTED | DANGEROUS PORT | Source: 10.0.0.99 | Attempt on Telnet port 23
2026-06-26 12:46:55,563 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,565 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,567 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,568 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,588 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,594 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,597 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,602 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,643 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,645 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,648 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,649 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,651 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,653 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,668 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,670 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:55,671 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,678 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:55,682 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,685 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,687 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,689 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:55,690 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:55,693 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,761 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,768 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:55,775 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:55,777 | INFO | ALLOW  | TCP   | 172.64.155.209:443 -> 192.168.25.128:49598 | Rule: Default policy
2026-06-26 12:46:55,780 | INFO | ALLOW  | TCP   | 192.168.25.128:49598 -> 172.64.155.209:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,782 | INFO | ALLOW  | TCP   | 172.64.155.209:443 -> 192.168.25.128:49598 | Rule: Default policy
2026-06-26 12:46:55,785 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,787 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,789 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,797 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,800 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,803 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,805 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,806 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,808 | INFO | ALLOW  | TCP   | 172.64.155.209:443 -> 192.168.25.128:49598 | Rule: Default policy
2026-06-26 12:46:55,810 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,817 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:55,818 | INFO | ALLOW  | TCP   | 192.168.25.128:48874 -> 104.18.32.47:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,821 | INFO | ALLOW  | TCP   | 104.18.32.47:443 -> 192.168.25.128:48874 | Rule: Default policy
2026-06-26 12:46:55,822 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,823 | INFO | ALLOW  | TCP   | 192.168.25.128:49598 -> 172.64.155.209:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,825 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,827 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,829 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,831 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,833 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,835 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,838 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,840 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,849 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,859 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,876 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,884 | INFO | ALLOW  | UDP   | 192.168.25.128:35371 -> 172.64.154.211:443 | Rule: Default policy
2026-06-26 12:46:55,886 | INFO | ALLOW  | TCP   | 172.64.155.209:443 -> 192.168.25.128:49598 | Rule: Default policy
2026-06-26 12:46:55,887 | INFO | ALLOW  | TCP   | 192.168.25.128:49598 -> 172.64.155.209:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,889 | INFO | ALLOW  | TCP   | 172.64.155.209:443 -> 192.168.25.128:49598 | Rule: Default policy
2026-06-26 12:46:55,891 | INFO | ALLOW  | TCP   | 192.168.25.128:49598 -> 172.64.155.209:443 | Rule: Allow HTTPS outbound
2026-06-26 12:46:55,894 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,896 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,899 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
2026-06-26 12:46:55,901 | INFO | ALLOW  | UDP   | 172.64.154.211:443 -> 192.168.25.128:35371 | Rule: Default policy
